T_1,OD_1,DEV_1,T_2,OD_2,DEV_2,T_3,OD_3,DEV_3,T_4,OD_4,DEV_4,T_5,OD_5,DEV_5,T_6,OD_6,DEV_6,T_7,OD_7,DEV_7,T_8,OD_8,DEV_8,T_9,OD_9,DEV_9,T_10,OD_10,DEV_10,T_11,OD_11,DEV_11,T_12,OD_12,DEV_12,T_13,OD_13,DEV_13,T_14,OD_14,DEV_14,T_15,OD_15,DEV_15,T_16,OD_16,DEV_16,T_17,OD_17,DEV_17,T_18,OD_18,DEV_18,T_19,OD_19,DEV_19,T_20,OD_20,DEV_20
12.77836257,0.255141559,0.007213361,12.77836257,0.248014251,0.126170179,12.77836257,0.174810203,0.095051101,12.77836257,0.367116664,0.030066645,12.77836257,0.270531967,0.003441092,12.77836257,0.18076068,0.046510474,12.77836257,0.193810756,0.044599418,12.77836257,0.209971893,0.007520619,12.77836257,0.156382127,0.043318552,12.77836257,0.251554918,0.026917507,12.77836257,-0.296314487,0.021320646,12.77836257,0.094980361,0.008949673,12.77836257,-0.203886209,0.135541791,12.77836257,0.109130128,0.008344673,12.77836257,-0.550660463,0.022550354,12.77836257,-0.516936105,0.040346863,12.77836257,-0.53675355,0.010965489,12.77836257,-0.604340803,0.035708002,12.77836257,-0.495493164,0.017638005,12.77836257,-0.652169487,0.125012527
14.02397661,0.239767759,0.010434862,14.02397661,0.250417937,0.166542103,14.02397661,0.159366979,0.11082004,14.02397661,0.410175519,0.022368698,14.02397661,0.28191162,0.003402149,14.02397661,0.175776235,0.060982671,14.02397661,0.188473867,0.048233023,14.02397661,0.219921494,0.007122095,14.02397661,0.25893259,0.016690879,14.02397661,0.233305115,0.02350795,14.02397661,-0.033609084,0.012519916,14.02397661,0.081840561,0.01181165,14.02397661,-0.124614927,0.103075875,14.02397661,0.153858714,0.004317271,14.02397661,-0.558739585,0.019233437,14.02397661,-0.525855741,0.03808387,14.02397661,-0.550181482,0.028304056,14.02397661,-0.61965082,0.033457365,14.02397661,-0.503717841,0.01631855,14.02397661,-0.517110619,0.046222211
15.26959064,0.233170769,0.01287478,15.26959064,0.243293475,0.188788129,15.26959064,0.147784785,0.123889131,15.26959064,0.460385426,0.024463585,15.26959064,0.291171307,0.00373694,15.26959064,0.155161503,0.067927784,15.26959064,0.178730085,0.057464139,15.26959064,0.235323052,0.00613102,15.26959064,0.26857736,0.023037207,15.26959064,0.241870268,0.049284788,15.26959064,0.006950878,0.008621618,15.26959064,0.03810072,0.021756769,15.26959064,-0.098082254,0.110536561,15.26959064,0.123098812,0.003185992,15.26959064,-0.565229227,0.023339039,15.26959064,-0.531547778,0.03960004,15.26959064,-0.594811645,0.001046873,15.26959064,-0.627761381,0.03474637,15.26959064,-0.51595782,0.018980995,15.26959064,-0.487806193,0.011718557
16.51520468,0.231054532,0.013114964,16.51520468,0.226718553,0.190082804,16.51520468,0.143492719,0.13959161,16.51520468,0.475991516,0.010338569,16.51520468,0.299356811,0.004503429,16.51520468,0.136324003,0.076682368,16.51520468,0.188276315,0.079374121,16.51520468,0.264666157,0.00306985,16.51520468,0.294105878,0.030176792,16.51520468,0.267446976,0.068585345,16.51520468,0.012220557,0.010594693,16.51520468,-0.080158981,0.009945467,16.51520468,-0.180115881,0.02397199,16.51520468,-0.017940125,0.018591957,16.51520468,-0.571150334,0.025749786,16.51520468,-0.536625736,0.038156712,16.51520468,-0.61128409,0.008490598,16.51520468,-0.63339976,0.034943132,16.51520468,-0.521551923,0.018578496,16.51520468,-0.510858959,0.010000375
17.76081871,0.231054532,0.013114964,17.76081871,0.216969549,0.189993734,17.76081871,0.148642496,0.161474265,17.76081871,0.475991516,0.010338569,17.76081871,0.302072435,0.004067053,17.76081871,0.1268069,0.080150293,17.76081871,0.203447385,0.104362586,17.76081871,0.284145606,0.009542509,17.76081871,0.315884383,0.034015108,17.76081871,0.274451702,0.065481452,17.76081871,0.00858314,0.011784496,17.76081871,-0.248272165,0.111681175,17.76081871,-0.302142173,0.159609224,17.76081871,-0.694832318,0.084536072,17.76081871,-0.571150334,0.025749786,17.76081871,-0.536625736,0.038156712,17.76081871,-0.562329619,0.10454993,17.76081871,-0.635312112,0.036115936,17.76081871,-0.524389591,0.02060432,17.76081871,-0.531032188,0.003401375
19.00643275,0.231054532,0.013114964,19.00643275,0.206959755,0.191150099,19.00643275,0.160923768,0.196569412,19.00643275,0.475991516,0.010338569,19.00643275,0.302072435,0.004067053,19.00643275,0.1268069,0.080150293,19.00643275,0.208305369,0.112354231,19.00643275,0.314532934,0.028856216,19.00643275,0.32444069,0.012901419,19.00643275,0.269499252,0.048670928,19.00643275,-0.266024321,0.23245159,19.00643275,-0.619064763,0.158400613,19.00643275,-0.532827623,0.194972059,19.00643275,-0.83656094,0.088940442,19.00643275,-0.571150334,0.025749786,19.00643275,-0.536625736,0.038156712,19.00643275,-0.609368478,0.040919319,19.00643275,-0.635312112,0.036115936,19.00643275,-0.524389591,0.02060432,19.00643275,-0.54072827,0.006926307
20.25204678,0.231054532,0.013114964,20.25204678,0.201403665,0.192576515,20.25204678,0.155598492,0.19650638,20.25204678,0.475991516,0.010338569,20.25204678,0.302072435,0.004067053,20.25204678,0.1268069,0.080150293,20.25204678,0.202432132,0.114776646,20.25204678,0.331887771,0.029555004,20.25204678,0.313103033,0.003046121,20.25204678,0.269499252,0.048670928,20.25204678,-1.022648107,0.178226633,20.25204678,-0.700935599,0.145427303,20.25204678,-0.611160769,0.229515217,20.25204678,-0.907965708,0.085899411,20.25204678,-0.571150334,0.025749786,20.25204678,-0.536625736,0.038156712,20.25204678,-0.600901958,0.085216903,20.25204678,-0.635312112,0.036115936,20.25204678,-0.524389591,0.02060432,20.25204678,-0.54072827,0.006926307
21.49766082,0.231054532,0.013114964,21.49766082,0.201403665,0.192576515,21.49766082,0.155598492,0.19650638,21.49766082,0.475991516,0.010338569,21.49766082,0.302072435,0.004067053,21.49766082,0.1268069,0.080150293,21.49766082,0.202432132,0.114776646,21.49766082,0.331887771,0.029555004,21.49766082,0.313103033,0.003046121,21.49766082,0.269499252,0.048670928,21.49766082,-1.022648107,0.178226633,21.49766082,-0.700935599,0.145427303,21.49766082,-0.611160769,0.229515217,21.49766082,-0.961359342,0.08698843,21.49766082,-0.571150334,0.025749786,21.49766082,-0.536625736,0.038156712,21.49766082,-0.656031721,0.023207633,21.49766082,-0.635312112,0.036115936,21.49766082,-0.524389591,0.02060432,21.49766082,-0.54072827,0.006926307
22.74327485,0.231054532,0.013114964,22.74327485,0.201403665,0.192576515,22.74327485,0.155598492,0.19650638,22.74327485,0.475991516,0.010338569,22.74327485,0.302072435,0.004067053,22.74327485,0.1268069,0.080150293,22.74327485,0.202432132,0.114776646,22.74327485,0.331887771,0.029555004,22.74327485,0.313103033,0.003046121,22.74327485,0.269499252,0.048670928,22.74327485,-1.022648107,0.178226633,22.74327485,-0.700935599,0.145427303,22.74327485,-0.611160769,0.229515217,22.74327485,-1.001323942,0.087824028,22.74327485,-0.571150334,0.025749786,22.74327485,-0.536625736,0.038156712,22.74327485,-0.656031721,0.023207633,22.74327485,-0.635312112,0.036115936,22.74327485,-0.524389591,0.02060432,22.74327485,-0.54072827,0.006926307
23.98888889,0.231054532,0.013114964,23.98888889,0.201403665,0.192576515,23.98888889,0.155598492,0.19650638,23.98888889,0.475991516,0.010338569,23.98888889,0.302072435,0.004067053,23.98888889,0.1268069,0.080150293,23.98888889,0.202432132,0.114776646,23.98888889,0.331887771,0.029555004,23.98888889,0.313103033,0.003046121,23.98888889,0.269499252,0.048670928,23.98888889,-1.022648107,0.178226633,23.98888889,-0.700935599,0.145427303,23.98888889,-0.611160769,0.229515217,23.98888889,-1.045773889,0.088382385,23.98888889,-0.571150334,0.025749786,23.98888889,-0.536625736,0.038156712,23.98888889,-0.656031721,0.023207633,23.98888889,-0.635312112,0.036115936,23.98888889,-0.524389591,0.02060432,23.98888889,-0.54072827,0.006926307
