ID,glc__D_e,xyl__D_e,succ_e,ala__L_e,arg__L_e,asn__L_e,asp__L_e,cys__L_e,glu__L_e,gln__L_e,gly_e,his__L_e,ile__L_e,leu__L_e,lys__L_e,met__L_e,phe__L_e,pro__L_e,ser__L_e,thr__L_e,trp__L_e,tyr__L_e,val__L_e,ade_e,gua_e,csn_e,ura_e,thymd_e
36,44.40497336,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0.5,0.2,0.4,0,0,0,0.1,0.2,0,0,0,0,0,0
37,44.40497336,0,0,0,0,0,0,0.1,0,0,0,0.2,0.4,0.8,0.5,0.2,0.4,0,0,0,0.1,0.2,0.6,0,0,0,0,0
38,44.40497336,0,0,0,5.2,0,0,0.1,0.55,0.615,0,0.2,0,0,0.5,0.2,0,0.4,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2
39,44.40497336,0,0,0,0,0,0,0.1,0,0,0,0.2,0.4,0.8,0.5,0.2,0.4,0,0,0,0.1,0.2,0.6,0.2,0.2,0.2,0.2,0.2
40,44.40497336,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2
41,44.40497336,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.5,0,0.4,0,0,0,0.1,0.2,0,0.2,0.2,0.2,0.2,0.2
42,44.40497336,0,0,0.8,5.2,0.4,0.4,0.1,0.55,0.615,0,0.2,0.4,0.8,0.5,0.2,0.4,0.4,0,0,0.1,0.2,0.6,0,0,0,0,0
43,44.40497336,0,0,0,5.2,0,0,0.1,0,0,0.8,0,0.4,0.8,0,0.2,0,0.4,10,0.4,0,0,0.6,0,0,0,0,0
44,44.40497336,0,0,0,0,0,0,0.1,0.55,0.615,0.8,0.2,0,0,0.5,0.2,0.4,0,10,0.4,0.1,0.2,0,0,0,0,0,0
45,44.40497336,0,0,0,0,0,0,0.1,0.55,0.615,0.8,0.2,0.4,0.8,0.5,0.2,0.4,0,10,0.4,0.1,0.2,0.6,0,0,0,0,0
46,44.40497336,0,0,0,0,0,0,0.1,0.55,0.615,0.8,0.2,0,0,0.5,0.2,0.4,0,10,0.4,0.1,0.2,0,0.2,0.2,0.2,0.2,0.2
47,44.40497336,0,0,0.8,0,0.4,0.4,0,0.55,0.615,0.8,0,0,0,0,0,0.4,0,10,0.4,0.1,0.2,0,0,0,0,0,0
48,44.40497336,0,0,0.8,0,0.4,0.4,0,0.55,0.615,0.8,0.2,0,0,0.5,0,0.4,0,10,0.4,0.1,0.2,0,0,0,0,0,0
49,44.40497336,0,0,0.8,0,0.4,0.4,0.1,0.55,0.615,0.8,0.2,0,0,0.5,0.2,0.4,0,10,0.4,0.1,0.2,0,0,0,0,0,0
50,44.40497336,0,0,0.8,0,0.4,0.4,0.1,0.55,0.615,0.8,0.2,0.4,0.8,0.5,0.2,0.4,0,10,0.4,0.1,0.2,0.6,0,0,0,0,0
51,44.40497336,0,0,0,5.2,0,0,0,0.55,0.615,0.8,0,0.4,0.8,0,0,0,0.4,10,0.4,0,0,0.6,0,0,0,0,0
52,44.40497336,0,0,0,5.2,0,0,0,0.55,0.615,0.8,0,0.4,0.8,0,0,0.4,0.4,10,0.4,0.1,0.2,0.6,0,0,0,0,0
53,44.40497336,0,0,0,5.2,0,0,0,0.55,0.615,0.8,0.2,0.4,0.8,0.5,0,0.4,0.4,10,0.4,0.1,0.2,0.6,0,0,0,0,0
54,44.40497336,0,0,0,5.2,0,0,0,0.55,0.615,0.8,0,0.4,0.8,0,0,0,0.4,10,0.4,0,0,0.6,0.2,0.2,0.2,0.2,0.2
55,44.40497336,0,0,0,0,0,0,0.1,0.55,0.615,0.8,0.2,0,0,0.5,0.2,0,0,10,0.4,0,0,0,0,0,0,0,0
56,44.40497336,0,0,0,0,0,0,0.1,0.55,0.615,0.8,0,0,0,0,0.2,0,0,10,0.4,0,0,0,0,0,0,0,0
57,44.40497336,0,0,0,5.2,0,0,0,0.55,0.615,0.8,0,0,0,0,0,0,0.4,10,0.4,0,0,0,0,0,0,0,0
58,44.40497336,0,0,0,0,0,0,0,0.55,0.615,0.8,0,0,0,0,0,0,0,10,0.4,0,0,0,0,0,0,0,0
59,44.40497336,0,0,0.8,0,0.4,0.4,0,0,0,0.8,0,0,0,0,0,0,0,10,0.4,0,0,0,0,0,0,0,0
60,44.40497336,0,0,0.8,0,0.4,0.4,0,0.55,0.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,44.40497336,0,0,0,0,0,0,0,0.55,0.615,0.8,0,0,0,0,0,0,0,10,0.4,0,0,0,0.2,0.2,0.2,0.2,0.2
62,44.40497336,0,0,0.8,0,0.4,0.4,0,0,0,0.8,0,0,0,0,0,0,0,10,0.4,0,0,0,0.2,0.2,0.2,0.2,0.2
63,44.40497336,0,0,0.8,0,0.4,0.4,0,0.55,0.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2
64,44.40497336,0,0,0.8,0,0.4,0.4,0,0,0,0.8,0.2,0,0,0.5,0,0.4,0,10,0.4,0.1,0.2,0,0,0,0,0,0
65,44.40497336,0,0,0.8,0,0.4,0.4,0.1,0,0,0.8,0.2,0,0,0.5,0.2,0.4,0,10,0.4,0.1,0.2,0,0,0,0,0,0
66,44.40497336,0,0,0.8,5.2,0.4,0.4,0,0,0,0.8,0,0.4,0.8,0,0,0,0.4,10,0.4,0,0,0.6,0,0,0,0,0
67,44.40497336,0,0,0.8,0,0.4,0.4,0,0.55,0.615,0,0.2,0,0,0.5,0,0.4,0,0,0,0.1,0.2,0,0,0,0,0,0
68,44.40497336,0,0,0.8,0,0.4,0.4,0.1,0.55,0.615,0,0.2,0,0,0.5,0.2,0.4,0,0,0,0.1,0.2,0,0,0,0,0,0
